comment,label
Borukara andu heththa apita sahane denava kiyala apema bella kapanava thopi,negative
Chande tiyana kota vitharai minissu watinne munta hena gahanna one me karapu wadeta. ,negative
Ko mahaththayo yahapalana kale ithuru karapu salli. ,negative
Oya gonna buruwa aurudu ganak idala monawada kare oun okkoma merila giyanam hodai,negative
Premadasa lankawe 60000 k marala puchala demma,negative
Mu apiwa kawa garu janadepathi keyanda apa muta,negative
patta horaaa banku kadan kala ratath kala bombath gassala dan baila ghanwa ??,negative
Ane plyan mahattayo ynna 225 kiynne rata kala vinasha karanna apu kalakanni tikak ??????,negative
Ubala maruni dawasata kiribarth uyala samaranna oni,negative
Lokaye sitina modama chanda dayakayo inna rata nisa uba aliye,negative
Nodakin wimale uba..,negative
Topi miharak wadak na thopen,negative
Ane pala yanna thopi me rata kawa.,negative
Rajapakshala gana Dan apata pahadeemak Naha,negative
Munta chande dunnu api waredi...,negative
Sora kame arambaya ada wena vita rate thathwe penawa ne 225 oyala thama hodatama kale ??,negative
Tho yanne highway eke salli gewalada ? ane hukahan manthri lollo,negative
Marenna inna unuth wikunan kana jara hetta.,negative
Munta pissu kiyanne nikanda,negative
goverment eke vada dan janata hitavadi na,negative
"Ammata siri, leddun genut hambara karla da ??",negative
Apathayo.mun janatha niyigithayo newei,negative
Oita wada hodai toilet walak kadan kapan.,negative
Ahanam ai dupath minussungen higa kanna..ganna kiyapiyakoo ....,negative
Watina tanwanasala munpessu kelinawa,negative
Boru kiya kiya yanawa ...,negative
bankoloth politics.??,negative
Mewata Rawtena epa munokokma horu,negative
Mun pissuwen dodawanne ganan ganna epha.,negative
"Ou hora kapuwa thiyenawa ona tharam, 5000 dipalla",negative
225 korona hadila kiyala dannako ??????,negative
Hatara wate ......giya....me..buuuruwa . Minissu tika kulappu kara kara….,negative
Hora kanna puluwan taram hora kala kala dan yanawa pansalgane karapu pau hodaganna...,negative
Mu kare yudde iwara karanna atha hitha dunna eka vitharai…..,negative
anadipati tumage baila wetara wada naa,negative
Pissu hutan,negative
Boho dena oba samagin janapathi thumani.,positive
Darme vikunm kana pra haththa,negative
henaganna oni ne munta gana thattayo,negative
Muntane minissu chande denne wesa ballo,negative
Mahajana mudal hora kama namagiya aparadakarayo tiyana deel gasima me seratama,negative
Pala ponnayo yanda topi thawath kata karanawa lajja natuwa,negative
Topita samprdaya wadak ne ...topi me aurudu 5hata ape oluwe idan kawA ,negative
Ane palayan h... to yanna... ubala aurudu 5 keruwe nithi garukawa.... redda thamai...,negative
Me wage 2.50 Pankadayo genella discuss karanna epa,negative
Kaiya wethrari karapu deyak naa,negative
Bolata chanda gannada owa kiyanne,negative
Oba thumaage aadarshaya rajaye anith ayath kriyaathmaka karai kiyala api balaaporoththu wenawa.,positive
pincidda wenawa garu Amathithumani. hamadama wage obata jaya weva,positive
Mema kapavime prathipala nisa tamae Ada api husma ganne.obata boho pin,positive
Jayaweewaa Wimal Sahodaraya.,positive
Oba tuma milagata rate nayakaya viya utumai ape prathanawa,positive
Niyamai........wrada nivaradi karamu,positive
Jayen jaya...,positive
Garu wimal amathi thumani Api hamadamath Oba tuma deshapremi nayakayeku bawa viswasa karanawa. ,positive
Ape hadavate viruva,positive
"Deshapalakayan athare onama welawaka available leader ship, Jayantha Ayya , eda idan janathawa ekka",positive
Suba anagathayaka pera nimithy....,positive
Dunna manapaya gena ada hadawathinma sathutui. ..... amathithumani. . Theruwan saranai !,positive
niyamai amathithuma me anduwe wadakarana amatiwarungen kenek obathuma,positive
Hitha hoda manussayek.....jaya niyathai.....,positive
Denata wedak karala pennapu ekma kena...??,positive
Oba thuma ganna uthsahaya anik ewunta adarshayak,positive
Oba thumata jayen jayama idiriyedi labenawa samanlal mathuthumanta,positive
Sathiyak athulatha karapu wada dakkama sathutu hithenawa,positive
Hitapu vidiha nova innavidaihai vadagath,positive
Ekanam honda wedak wage penenawa!! Balamu balamu,positive
Appachchi pin obathuma Apita davikenek,positive
Rata nisi thanakata ganna siyaluma SAKTHEYA dahiriya labewa,positive
Ape rata wasanawanthai,positive
"Theruwan saranayi oba thumaata, jayen Jayama wewa.!!!",positive
Deergayu weva ?? niduk nirogee weva ?? jayen jayama weva ??????????????????,positive
Jayen jayama wewa ada dawasa,positive
Jayen jayamawewa gota. Mahinda mathidun. Depalata,positive
odak hoda wedak obathumata api hadawathinma garu karana,positive
Konda kelin nayakayek ratata ona tharuna aya oba wata sitinne a nisai,positive
Meeta kalin kisima janaadhipathiwarayek janathaawage kriyaawan mehema age kale nehe,positive
Wenasata api Garu Karamu!!Janapathi Thumani Obage Shakthiya Daruwange Shakthiyai.???,positive
Hari kenata rata baara una witharai me tharuna parapura owunge hakiyawa ratat alankaara karanna gaththa..,positive
Danui minisunta ratak tiyena bawa danenne.,positive
Pana adimin siti jathiyata nawa jiwayak dunne obai.. ,positive
Obathumage sakthiyata athwalak.... Theruwan saranai!,positive
Obathumage siyalu weda katayuthu athi sarthaka wewi.,positive
Jayawewaa.. Lassan apee rata..,positive
Apith ekathuwenawa janadipathithumani. tharuna hakiyawan agaya kireema sathutata karunak.,positive
Api oba thuma samagai,positive
Niwaradi nayakathwak...daksha tharuna parapurak..adambarai..Budusaranai!!!,positive
Obathuman rate nayakaya u...pamaninma tharuna parapura kotharam pibideee athda yanna mulu rata pura dakiya haka,positive
"obe eee wachana tika mulu mahat tharuna prajawatama wishala shaktiyak, janapathi thumani.",positive
Teruwan saranai obathumage nayakathwayen mulu ratama wenaswemin pawathi adambarai mage rata gana,positive
dan thamai aththatama danenne ratata nayakayek innawa kiyala,positive
Gotabaya janadipathi tumani lankawe podu prawahanaya pita rata men diunu karanda.,positive
Wadakarana nayakayek ennakota hamoma sathutin wada,positive
Asirimath ratak godanageemata nayakathwaya wagema dayakathwada ithama wadagath.,positive
Janadipathithumani parawal depaththe gasuth sitawamu me gaman,positive
Wade niyamay ...niyameta wadakaranawa ...thawa tikak hoda liyanna set ekak bassanna.,positive
Obathuma rate janapathi Vela aurudu 15..20.innaoni obatumata Jaya Jaya ve,positive
Oba wani niyama nayaka thumek apita labunama ..,positive
Echchara thannahawak yako dan gedarat wela banak dahamak adahagen hitapiyako,negative
Rata puluwan tharam naya kara un kotipatiyo una param para ganakat hammba kara..,negative
